Hourly measurement data supplied by UK-air on 05/02/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Devonshire Green",
Latitude,,53.378622,,
Longitude,,-1.478096,,
Site Type,,Urban Background,,
Zone,,Yorkshire & Humberside,,
Agglomeration,,Sheffield Urban Area,,
Local Authority,,"Sheffield",,
Date,Time,"Nitrogen dioxide",Status
2018-01-01,01:00:00,13.1301,V ugm-3
2018-01-01,02:00:00,14.9329,V ugm-3
2018-01-01,03:00:00,14.09396,V ugm-3
2018-01-01,04:00:00,18.43674,V ugm-3
2018-01-01,05:00:00,12.38329,V ugm-3
2018-01-01,06:00:00,7.71533,V ugm-3
2018-01-01,07:00:00,10.26365,V ugm-3
2018-01-01,08:00:00,10.71224,V ugm-3
2018-01-01,09:00:00,11.57521,V ugm-3
2018-01-01,10:00:00,7.58832,V ugm-3
2018-01-01,11:00:00,7.93783,V ugm-3
2018-01-01,12:00:00,13.40295,V ugm-3
2018-01-01,13:00:00,17.54032,V ugm-3
2018-01-01,14:00:00,14.05696,V ugm-3
2018-01-01,15:00:00,14.64877,V ugm-3
2018-01-01,16:00:00,14.55776,V ugm-3
2018-01-01,17:00:00,10.84738,V ugm-3
2018-01-01,18:00:00,9.00343,V ugm-3
2018-01-01,19:00:00,7.91076,V ugm-3
2018-01-01,20:00:00,7.9513,V ugm-3
2018-01-01,21:00:00,5.74617,V ugm-3
2018-01-01,22:00:00,5.25524,V ugm-3
2018-01-01,23:00:00,5.31018,V ugm-3
2018-01-01,24:00:00,4.87419,V ugm-3
2018-01-02,01:00:00,4.6127,V ugm-3
2018-01-02,02:00:00,5.7355,V ugm-3
2018-01-02,03:00:00,4.52049,V ugm-3
2018-01-02,04:00:00,4.82942,V ugm-3
2018-01-02,05:00:00,5.27074,V ugm-3
2018-01-02,06:00:00,6.49927,V ugm-3
2018-01-02,07:00:00,16.55709,V ugm-3
2018-01-02,08:00:00,29.87564,V ugm-3
2018-01-02,09:00:00,21.91135,V ugm-3
2018-01-02,10:00:00,19.93543,V ugm-3
2018-01-02,11:00:00,27.57136,V ugm-3
2018-01-02,12:00:00,41.05419,V ugm-3
2018-01-02,13:00:00,37.85766,V ugm-3
2018-01-02,14:00:00,29.02699,V ugm-3
2018-01-02,15:00:00,45.43458,V ugm-3
2018-01-02,16:00:00,66.98337,V ugm-3
2018-01-02,17:00:00,57.05498,V ugm-3
2018-01-02,18:00:00,17.17273,V ugm-3
2018-01-02,19:00:00,16.54664,V ugm-3
2018-01-02,20:00:00,17.69228,V ugm-3
2018-01-02,21:00:00,16.51761,V ugm-3
2018-01-02,22:00:00,10.00219,V ugm-3
2018-01-02,23:00:00,6.02025,V ugm-3
2018-01-02,24:00:00,5.46269,V ugm-3
2018-01-03,01:00:00,3.72723,V ugm-3
2018-01-03,02:00:00,6.17203,V ugm-3
2018-01-03,03:00:00,3.68331,V ugm-3
2018-01-03,04:00:00,3.25278,V ugm-3
2018-01-03,05:00:00,2.96656,V ugm-3
2018-01-03,06:00:00,4.0381,V ugm-3
2018-01-03,07:00:00,5.66718,V ugm-3
2018-01-03,08:00:00,8.06189,V ugm-3
2018-01-03,09:00:00,11.03918,V ugm-3
2018-01-03,10:00:00,12.76843,V ugm-3
2018-01-03,11:00:00,9.8937,V ugm-3
2018-01-03,12:00:00,9.70109,V ugm-3
2018-01-03,13:00:00,9.66055,V ugm-3
2018-01-03,14:00:00,9.77861,V ugm-3
2018-01-03,15:00:00,10.99445,V ugm-3
2018-01-03,16:00:00,9.43931,V ugm-3
2018-01-03,17:00:00,12.04034,V ugm-3
2018-01-03,18:00:00,13.80537,V ugm-3
2018-01-03,19:00:00,15.08025,V ugm-3
2018-01-03,20:00:00,11.81019,V ugm-3
2018-01-03,21:00:00,9.394,V ugm-3
2018-01-03,22:00:00,9.44529,V ugm-3
2018-01-03,23:00:00,9.96406,V ugm-3
2018-01-03,24:00:00,9.33019,V ugm-3
2018-01-04,01:00:00,6.50524,V ugm-3
2018-01-04,02:00:00,7.0139,V ugm-3
2018-01-04,03:00:00,10.2031,V ugm-3
2018-01-04,04:00:00,6.21857,V ugm-3
2018-01-04,05:00:00,8.06088,V ugm-3
2018-01-04,06:00:00,11.03602,V ugm-3
2018-01-04,07:00:00,25.62823,V ugm-3
2018-01-04,08:00:00,44.16002,V ugm-3
2018-01-04,09:00:00,43.91707,V ugm-3
2018-01-04,10:00:00,46.12671,V ugm-3
2018-01-04,11:00:00,54.01315,V ugm-3
2018-01-04,12:00:00,50.3887,V ugm-3
2018-01-04,13:00:00,29.32249,V ugm-3
2018-01-04,14:00:00,16.88237,V ugm-3
2018-01-04,15:00:00,No data,V ugm-3
2018-01-04,16:00:00,11.82077,V ugm-3
2018-01-04,17:00:00,11.30918,V ugm-3
2018-01-04,18:00:00,10.88226,V ugm-3
2018-01-04,19:00:00,13.11319,V ugm-3
2018-01-04,20:00:00,10.70803,V ugm-3
2018-01-04,21:00:00,12.53607,V ugm-3
2018-01-04,22:00:00,13.47103,V ugm-3
2018-01-04,23:00:00,13.51158,V ugm-3
2018-01-04,24:00:00,11.85062,V ugm-3
2018-01-05,01:00:00,22.34688,V ugm-3
2018-01-05,02:00:00,27.14481,V ugm-3
2018-01-05,03:00:00,15.28446,V ugm-3
2018-01-05,04:00:00,11.64511,V ugm-3
2018-01-05,05:00:00,11.76001,V ugm-3
2018-01-05,06:00:00,9.82082,V ugm-3
2018-01-05,07:00:00,17.63345,V ugm-3
2018-01-05,08:00:00,40.57187,V ugm-3
2018-01-05,09:00:00,69.90473,V ugm-3
2018-01-05,10:00:00,60.5304,V ugm-3
2018-01-05,11:00:00,62.99497,V ugm-3
2018-01-05,12:00:00,60.07277,V ugm-3
2018-01-05,13:00:00,66.85969,V ugm-3
2018-01-05,14:00:00,61.54957,V ugm-3
2018-01-05,15:00:00,59.45671,V ugm-3
2018-01-05,16:00:00,61.18524,V ugm-3
2018-01-05,17:00:00,38.64758,V ugm-3
2018-01-05,18:00:00,41.11045,V ugm-3
2018-01-05,19:00:00,51.5159,V ugm-3
2018-01-05,20:00:00,69.80761,V ugm-3
2018-01-05,21:00:00,77.55529,V ugm-3
2018-01-05,22:00:00,78.00399,V ugm-3
2018-01-05,23:00:00,83.0838,V ugm-3
2018-01-05,24:00:00,57.31251,V ugm-3
2018-01-06,01:00:00,76.85919,V ugm-3
2018-01-06,02:00:00,64.99508,V ugm-3
2018-01-06,03:00:00,64.951,V ugm-3
2018-01-06,04:00:00,45.34379,V ugm-3
2018-01-06,05:00:00,26.6536,V ugm-3
2018-01-06,06:00:00,15.42462,V ugm-3
2018-01-06,07:00:00,10.89407,V ugm-3
2018-01-06,08:00:00,14.81067,V ugm-3
2018-01-06,09:00:00,23.20111,V ugm-3
2018-01-06,10:00:00,24.34235,V ugm-3
2018-01-06,11:00:00,23.34719,V ugm-3
2018-01-06,12:00:00,18.53959,V ugm-3
2018-01-06,13:00:00,18.21177,V ugm-3
2018-01-06,14:00:00,21.37127,V ugm-3
2018-01-06,15:00:00,18.73041,V ugm-3
2018-01-06,16:00:00,18.34252,V ugm-3
2018-01-06,17:00:00,28.25759,V ugm-3
2018-01-06,18:00:00,41.56333,V ugm-3
2018-01-06,19:00:00,47.34992,V ugm-3
2018-01-06,20:00:00,43.22342,V ugm-3
2018-01-06,21:00:00,46.05447,V ugm-3
2018-01-06,22:00:00,40.49727,V ugm-3
2018-01-06,23:00:00,32.33467,V ugm-3
2018-01-06,24:00:00,32.45635,V ugm-3
2018-01-07,01:00:00,36.15927,V ugm-3
2018-01-07,02:00:00,32.67133,V ugm-3
2018-01-07,03:00:00,27.68922,V ugm-3
2018-01-07,04:00:00,20.33698,V ugm-3
2018-01-07,05:00:00,20.14651,V ugm-3
2018-01-07,06:00:00,13.02177,V ugm-3
2018-01-07,07:00:00,14.16836,V ugm-3
2018-01-07,08:00:00,19.84135,V ugm-3
2018-01-07,09:00:00,26.63796,V ugm-3
2018-01-07,10:00:00,30.1181,V ugm-3
2018-01-07,11:00:00,26.58819,V ugm-3
2018-01-07,12:00:00,22.76563,V ugm-3
2018-01-07,13:00:00,25.32866,V ugm-3
2018-01-07,14:00:00,27.36785,V ugm-3
2018-01-07,15:00:00,28.95906,V ugm-3
2018-01-07,16:00:00,26.64319,V ugm-3
2018-01-07,17:00:00,41.26669,V ugm-3
2018-01-07,18:00:00,53.86851,V ugm-3
2018-01-07,19:00:00,54.07811,V ugm-3
2018-01-07,20:00:00,65.56308,V ugm-3
2018-01-07,21:00:00,55.43299,V ugm-3
2018-01-07,22:00:00,47.76505,V ugm-3
2018-01-07,23:00:00,45.2585,V ugm-3
2018-01-07,24:00:00,43.04121,V ugm-3
2018-01-08,01:00:00,42.66859,V ugm-3
2018-01-08,02:00:00,50.04803,V ugm-3
2018-01-08,03:00:00,59.69447,V ugm-3
2018-01-08,04:00:00,31.33135,V ugm-3
2018-01-08,05:00:00,48.50988,V ugm-3
2018-01-08,06:00:00,51.75394,V ugm-3
2018-01-08,07:00:00,59.12758,V ugm-3
2018-01-08,08:00:00,81.7846,V ugm-3
2018-01-08,09:00:00,122.58533,V ugm-3
2018-01-08,10:00:00,135.33408,V ugm-3
2018-01-08,11:00:00,110.00681,V ugm-3
2018-01-08,12:00:00,80.00098,V ugm-3
2018-01-08,13:00:00,65.7793,V ugm-3
2018-01-08,14:00:00,74.04115,V ugm-3
2018-01-08,15:00:00,46.10295,V ugm-3
2018-01-08,16:00:00,46.06414,V ugm-3
2018-01-08,17:00:00,37.43421,V ugm-3
2018-01-08,18:00:00,48.23563,V ugm-3
2018-01-08,19:00:00,55.68637,V ugm-3
2018-01-08,20:00:00,48.9551,V ugm-3
2018-01-08,21:00:00,38.49052,V ugm-3
2018-01-08,22:00:00,36.43756,V ugm-3
2018-01-08,23:00:00,28.71393,V ugm-3
2018-01-08,24:00:00,15.26883,V ugm-3
2018-01-09,01:00:00,14.8093,V ugm-3
2018-01-09,02:00:00,20.07867,V ugm-3
2018-01-09,03:00:00,18.78025,V ugm-3
2018-01-09,04:00:00,19.55061,V ugm-3
2018-01-09,05:00:00,19.24005,V ugm-3
2018-01-09,06:00:00,20.71618,V ugm-3
2018-01-09,07:00:00,25.52029,V ugm-3
2018-01-09,08:00:00,33.6744,V ugm-3
2018-01-09,09:00:00,36.33947,V ugm-3
2018-01-09,10:00:00,39.22144,V ugm-3
2018-01-09,11:00:00,36.98996,V ugm-3
2018-01-09,12:00:00,38.13583,V ugm-3
2018-01-09,13:00:00,39.98397,V ugm-3
2018-01-09,14:00:00,40.81033,V ugm-3
2018-01-09,15:00:00,41.30208,V ugm-3
2018-01-09,16:00:00,42.48847,V ugm-3
2018-01-09,17:00:00,44.92392,V ugm-3
2018-01-09,18:00:00,43.44491,V ugm-3
2018-01-09,19:00:00,42.52186,V ugm-3
2018-01-09,20:00:00,40.73559,V ugm-3
2018-01-09,21:00:00,40.5965,V ugm-3
2018-01-09,22:00:00,40.47378,V ugm-3
2018-01-09,23:00:00,39.6188,V ugm-3
2018-01-09,24:00:00,39.48187,V ugm-3
2018-01-10,01:00:00,41.45064,V ugm-3
2018-01-10,02:00:00,42.093,V ugm-3
2018-01-10,03:00:00,40.32251,V ugm-3
2018-01-10,04:00:00,40.01415,V ugm-3
2018-01-10,05:00:00,41.35466,V ugm-3
2018-01-10,06:00:00,39.16781,V ugm-3
2018-01-10,07:00:00,41.15987,V ugm-3
2018-01-10,08:00:00,59.02691,V ugm-3
2018-01-10,09:00:00,77.7152,V ugm-3
2018-01-10,10:00:00,82.99529,V ugm-3
2018-01-10,11:00:00,67.8029,V ugm-3
2018-01-10,12:00:00,53.24495,V ugm-3
2018-01-10,13:00:00,56.5994,V ugm-3
2018-01-10,14:00:00,48.968,V ugm-3
2018-01-10,15:00:00,54.29163,V ugm-3
2018-01-10,16:00:00,49.79495,V ugm-3
2018-01-10,17:00:00,58.09564,V ugm-3
2018-01-10,18:00:00,52.63536,V ugm-3
2018-01-10,19:00:00,41.9435,V ugm-3
2018-01-10,20:00:00,45.16903,V ugm-3
2018-01-10,21:00:00,44.68829,V ugm-3
2018-01-10,22:00:00,43.59523,V ugm-3
2018-01-10,23:00:00,33.93453,V ugm-3
2018-01-10,24:00:00,31.82917,V ugm-3
2018-01-11,01:00:00,27.32075,V ugm-3
2018-01-11,02:00:00,26.77962,V ugm-3
2018-01-11,03:00:00,21.87954,V ugm-3
2018-01-11,04:00:00,18.3763,V ugm-3
2018-01-11,05:00:00,18.52422,V ugm-3
2018-01-11,06:00:00,16.23062,V ugm-3
2018-01-11,07:00:00,30.62106,V ugm-3
2018-01-11,08:00:00,29.76364,V ugm-3
2018-01-11,09:00:00,34.4487,V ugm-3
2018-01-11,10:00:00,31.98138,V ugm-3
2018-01-11,11:00:00,31.13259,V ugm-3
2018-01-11,12:00:00,33.04614,V ugm-3
2018-01-11,13:00:00,38.0388,V ugm-3
2018-01-11,14:00:00,36.57609,V ugm-3
2018-01-11,15:00:00,38.46338,V ugm-3
2018-01-11,16:00:00,43.50976,V ugm-3
2018-01-11,17:00:00,45.94538,V ugm-3
2018-01-11,18:00:00,49.96564,V ugm-3
2018-01-11,19:00:00,50.91862,V ugm-3
2018-01-11,20:00:00,46.525,V ugm-3
2018-01-11,21:00:00,43.99425,V ugm-3
2018-01-11,22:00:00,40.00071,V ugm-3
2018-01-11,23:00:00,39.06331,V ugm-3
2018-01-11,24:00:00,39.55087,V ugm-3
2018-01-12,01:00:00,37.7832,V ugm-3
2018-01-12,02:00:00,37.18851,V ugm-3
2018-01-12,03:00:00,33.73501,V ugm-3
2018-01-12,04:00:00,32.36655,V ugm-3
2018-01-12,05:00:00,36.60117,V ugm-3
2018-01-12,06:00:00,38.78492,V ugm-3
2018-01-12,07:00:00,36.84776,V ugm-3
2018-01-12,08:00:00,42.78437,V ugm-3
2018-01-12,09:00:00,43.11591,V ugm-3
2018-01-12,10:00:00,41.15433,V ugm-3
2018-01-12,11:00:00,37.26471,V ugm-3
2018-01-12,12:00:00,34.36957,V ugm-3
2018-01-12,13:00:00,37.38647,V ugm-3
2018-01-12,14:00:00,38.1119,V ugm-3
2018-01-12,15:00:00,42.42087,V ugm-3
2018-01-12,16:00:00,49.14699,V ugm-3
2018-01-12,17:00:00,50.85644,V ugm-3
2018-01-12,18:00:00,45.95425,V ugm-3
2018-01-12,19:00:00,41.19709,V ugm-3
2018-01-12,20:00:00,42.97771,V ugm-3
2018-01-12,21:00:00,41.4573,V ugm-3
2018-01-12,22:00:00,42.27315,V ugm-3
2018-01-12,23:00:00,45.02749,V ugm-3
2018-01-12,24:00:00,40.2089,V ugm-3
2018-01-13,01:00:00,41.51182,V ugm-3
2018-01-13,02:00:00,47.03742,V ugm-3
2018-01-13,03:00:00,35.66393,V ugm-3
2018-01-13,04:00:00,21.20683,V ugm-3
2018-01-13,05:00:00,16.93795,V ugm-3
2018-01-13,06:00:00,14.10273,V ugm-3
2018-01-13,07:00:00,15.02281,V ugm-3
2018-01-13,08:00:00,17.82712,V ugm-3
2018-01-13,09:00:00,26.73208,V ugm-3
2018-01-13,10:00:00,25.36865,V ugm-3
2018-01-13,11:00:00,31.26186,V ugm-3
2018-01-13,12:00:00,33.57572,V ugm-3
2018-01-13,13:00:00,34.8181,V ugm-3
2018-01-13,14:00:00,37.90873,V ugm-3
2018-01-13,15:00:00,41.65726,V ugm-3
2018-01-13,16:00:00,40.89738,V ugm-3
2018-01-13,17:00:00,42.46668,V ugm-3
2018-01-13,18:00:00,39.14288,V ugm-3
2018-01-13,19:00:00,33.27928,V ugm-3
2018-01-13,20:00:00,31.24727,V ugm-3
2018-01-13,21:00:00,30.58288,V ugm-3
2018-01-13,22:00:00,29.14866,V ugm-3
2018-01-13,23:00:00,26.85373,V ugm-3
2018-01-13,24:00:00,35.41228,V ugm-3
2018-01-14,01:00:00,36.49775,V ugm-3
2018-01-14,02:00:00,35.94025,V ugm-3
2018-01-14,03:00:00,29.11736,V ugm-3
2018-01-14,04:00:00,26.23829,V ugm-3
2018-01-14,05:00:00,17.7773,V ugm-3
2018-01-14,06:00:00,14.33069,V ugm-3
2018-01-14,07:00:00,14.46285,V ugm-3
2018-01-14,08:00:00,13.42627,V ugm-3
2018-01-14,09:00:00,16.5481,V ugm-3
2018-01-14,10:00:00,25.19919,V ugm-3
2018-01-14,11:00:00,21.09089,V ugm-3
2018-01-14,12:00:00,23.0811,V ugm-3
2018-01-14,13:00:00,24.97371,V ugm-3
2018-01-14,14:00:00,25.28296,V ugm-3
2018-01-14,15:00:00,21.82857,V ugm-3
2018-01-14,16:00:00,23.99415,V ugm-3
2018-01-14,17:00:00,24.71458,V ugm-3
2018-01-14,18:00:00,23.44996,V ugm-3
2018-01-14,19:00:00,24.42953,V ugm-3
2018-01-14,20:00:00,23.32298,V ugm-3
2018-01-14,21:00:00,21.36644,V ugm-3
2018-01-14,22:00:00,21.23515,V ugm-3
2018-01-14,23:00:00,18.99961,V ugm-3
2018-01-14,24:00:00,18.48994,V ugm-3
2018-01-15,01:00:00,11.50929,V ugm-3
2018-01-15,02:00:00,11.45843,V ugm-3
2018-01-15,03:00:00,9.67952,V ugm-3
2018-01-15,04:00:00,7.61615,V ugm-3
2018-01-15,05:00:00,6.11507,V ugm-3
2018-01-15,06:00:00,6.65915,V ugm-3
2018-01-15,07:00:00,10.53121,V ugm-3
2018-01-15,08:00:00,20.57298,V ugm-3
2018-01-15,09:00:00,22.92083,V ugm-3
2018-01-15,10:00:00,20.33896,V ugm-3
2018-01-15,11:00:00,22.83937,V ugm-3
2018-01-15,12:00:00,29.25859,V ugm-3
2018-01-15,13:00:00,22.86447,V ugm-3
2018-01-15,14:00:00,16.94084,V ugm-3
2018-01-15,15:00:00,16.90639,V ugm-3
2018-01-15,16:00:00,16.23705,V ugm-3
2018-01-15,17:00:00,15.94323,V ugm-3
2018-01-15,18:00:00,17.77013,V ugm-3
2018-01-15,19:00:00,14.63139,V ugm-3
2018-01-15,20:00:00,13.90324,V ugm-3
2018-01-15,21:00:00,18.12841,V ugm-3
2018-01-15,22:00:00,14.73154,V ugm-3
2018-01-15,23:00:00,8.87731,V ugm-3
2018-01-15,24:00:00,6.71624,V ugm-3
2018-01-16,01:00:00,5.46953,V ugm-3
2018-01-16,02:00:00,9.20944,V ugm-3
2018-01-16,03:00:00,6.43807,V ugm-3
2018-01-16,04:00:00,5.49603,V ugm-3
2018-01-16,05:00:00,5.07107,V ugm-3
2018-01-16,06:00:00,6.52272,V ugm-3
2018-01-16,07:00:00,9.4615,V ugm-3
2018-01-16,08:00:00,16.77809,V ugm-3
2018-01-16,09:00:00,19.90386,V ugm-3
2018-01-16,10:00:00,No data,V ugm-3
2018-01-16,11:00:00,No data,V ugm-3
2018-01-16,12:00:00,No data,V ugm-3
2018-01-16,13:00:00,No data,V ugm-3
2018-01-16,14:00:00,17.12983,V ugm-3
2018-01-16,15:00:00,18.3315,V ugm-3
2018-01-16,16:00:00,17.95342,V ugm-3
2018-01-16,17:00:00,20.77895,V ugm-3
2018-01-16,18:00:00,16.96106,V ugm-3
2018-01-16,19:00:00,12.85324,V ugm-3
2018-01-16,20:00:00,13.25304,V ugm-3
2018-01-16,21:00:00,12.58958,V ugm-3
2018-01-16,22:00:00,9.06968,V ugm-3
2018-01-16,23:00:00,8.83461,V ugm-3
2018-01-16,24:00:00,7.94005,V ugm-3
2018-01-17,01:00:00,5.93469,V ugm-3
2018-01-17,02:00:00,6.72004,V ugm-3
2018-01-17,03:00:00,6.94199,V ugm-3
2018-01-17,04:00:00,5.25703,V ugm-3
2018-01-17,05:00:00,3.68779,V ugm-3
2018-01-17,06:00:00,4.77892,V ugm-3
2018-01-17,07:00:00,8.64921,V ugm-3
2018-01-17,08:00:00,10.99217,V ugm-3
2018-01-17,09:00:00,12.77756,V ugm-3
2018-01-17,10:00:00,14.29355,V ugm-3
2018-01-17,11:00:00,17.90143,V ugm-3
2018-01-17,12:00:00,17.63902,V ugm-3
2018-01-17,13:00:00,15.81653,V ugm-3
2018-01-17,14:00:00,16.58848,V ugm-3
2018-01-17,15:00:00,18.92096,V ugm-3
2018-01-17,16:00:00,19.44492,V ugm-3
2018-01-17,17:00:00,24.00553,V ugm-3
2018-01-17,18:00:00,26.70478,V ugm-3
2018-01-17,19:00:00,26.31881,V ugm-3
2018-01-17,20:00:00,19.5877,V ugm-3
2018-01-17,21:00:00,17.70757,V ugm-3
2018-01-17,22:00:00,17.32639,V ugm-3
2018-01-17,23:00:00,23.01743,V ugm-3
2018-01-17,24:00:00,22.09528,V ugm-3
2018-01-18,01:00:00,17.48721,V ugm-3
2018-01-18,02:00:00,7.96432,V ugm-3
2018-01-18,03:00:00,4.11151,V ugm-3
2018-01-18,04:00:00,3.96685,V ugm-3
2018-01-18,05:00:00,5.10275,V ugm-3
2018-01-18,06:00:00,7.48371,V ugm-3
2018-01-18,07:00:00,12.07385,V ugm-3
2018-01-18,08:00:00,17.13955,V ugm-3
2018-01-18,09:00:00,24.99558,V ugm-3
2018-01-18,10:00:00,27.10757,V ugm-3
2018-01-18,11:00:00,26.94337,V ugm-3
2018-01-18,12:00:00,23.28694,V ugm-3
2018-01-18,13:00:00,21.46026,V ugm-3
2018-01-18,14:00:00,31.85813,V ugm-3
2018-01-18,15:00:00,41.36682,V ugm-3
2018-01-18,16:00:00,33.51304,V ugm-3
2018-01-18,17:00:00,45.34479,V ugm-3
2018-01-18,18:00:00,55.17763,V ugm-3
2018-01-18,19:00:00,29.99249,V ugm-3
2018-01-18,20:00:00,23.07928,V ugm-3
2018-01-18,21:00:00,17.96079,V ugm-3
2018-01-18,22:00:00,16.62031,V ugm-3
2018-01-18,23:00:00,23.50819,V ugm-3
2018-01-18,24:00:00,20.53968,V ugm-3
2018-01-19,01:00:00,16.30497,V ugm-3
2018-01-19,02:00:00,16.05471,V ugm-3
2018-01-19,03:00:00,10.63427,V ugm-3
2018-01-19,04:00:00,9.38993,V ugm-3
2018-01-19,05:00:00,7.59875,V ugm-3
2018-01-19,06:00:00,8.25476,V ugm-3
2018-01-19,07:00:00,9.40256,V ugm-3
2018-01-19,08:00:00,22.61034,V ugm-3
2018-01-19,09:00:00,42.19053,V ugm-3
2018-01-19,10:00:00,35.52935,V ugm-3
2018-01-19,11:00:00,45.84687,V ugm-3
2018-01-19,12:00:00,20.99961,V ugm-3
2018-01-19,13:00:00,12.74396,V ugm-3
2018-01-19,14:00:00,12.4895,V ugm-3
2018-01-19,15:00:00,16.64395,V ugm-3
2018-01-19,16:00:00,17.06175,V ugm-3
2018-01-19,17:00:00,16.5465,V ugm-3
2018-01-19,18:00:00,15.40231,V ugm-3
2018-01-19,19:00:00,12.94159,V ugm-3
2018-01-19,20:00:00,12.54004,V ugm-3
2018-01-19,21:00:00,11.63587,V ugm-3
2018-01-19,22:00:00,11.89756,V ugm-3
2018-01-19,23:00:00,13.27635,V ugm-3
2018-01-19,24:00:00,12.47325,V ugm-3
2018-01-20,01:00:00,14.25753,V ugm-3
2018-01-20,02:00:00,16.47446,V ugm-3
2018-01-20,03:00:00,38.04877,V ugm-3
2018-01-20,04:00:00,19.82413,V ugm-3
2018-01-20,05:00:00,19.65524,V ugm-3
2018-01-20,06:00:00,13.97625,V ugm-3
2018-01-20,07:00:00,16.79507,V ugm-3
2018-01-20,08:00:00,20.52555,V ugm-3
2018-01-20,09:00:00,28.3441,V ugm-3
2018-01-20,10:00:00,45.17732,V ugm-3
2018-01-20,11:00:00,39.88101,V ugm-3
2018-01-20,12:00:00,49.80573,V ugm-3
2018-01-20,13:00:00,54.72791,V ugm-3
2018-01-20,14:00:00,32.83663,V ugm-3
2018-01-20,15:00:00,33.96476,V ugm-3
2018-01-20,16:00:00,37.66172,V ugm-3
2018-01-20,17:00:00,46.95965,V ugm-3
2018-01-20,18:00:00,58.17269,V ugm-3
2018-01-20,19:00:00,62.17455,V ugm-3
2018-01-20,20:00:00,70.20419,V ugm-3
2018-01-20,21:00:00,52.96323,V ugm-3
2018-01-20,22:00:00,40.82948,V ugm-3
2018-01-20,23:00:00,48.78611,V ugm-3
2018-01-20,24:00:00,52.24776,V ugm-3
2018-01-21,01:00:00,62.32174,V ugm-3
2018-01-21,02:00:00,74.37255,V ugm-3
2018-01-21,03:00:00,96.46088,V ugm-3
2018-01-21,04:00:00,74.90501,V ugm-3
2018-01-21,05:00:00,52.94917,V ugm-3
2018-01-21,06:00:00,26.5018,V ugm-3
2018-01-21,07:00:00,34.13759,V ugm-3
2018-01-21,08:00:00,49.75208,V ugm-3
2018-01-21,09:00:00,32.71007,V ugm-3
2018-01-21,10:00:00,32.03951,V ugm-3
2018-01-21,11:00:00,34.18379,V ugm-3
2018-01-21,12:00:00,40.81138,V ugm-3
2018-01-21,13:00:00,28.81036,V ugm-3
2018-01-21,14:00:00,26.64971,V ugm-3
2018-01-21,15:00:00,29.34315,V ugm-3
2018-01-21,16:00:00,39.95394,V ugm-3
2018-01-21,17:00:00,46.77418,V ugm-3
2018-01-21,18:00:00,50.12619,V ugm-3
2018-01-21,19:00:00,42.56414,V ugm-3
2018-01-21,20:00:00,33.97064,V ugm-3
2018-01-21,21:00:00,33.21846,V ugm-3
2018-01-21,22:00:00,37.59196,V ugm-3
2018-01-21,23:00:00,17.47098,V ugm-3
2018-01-21,24:00:00,11.17818,V ugm-3
2018-01-22,01:00:00,6.64004,V ugm-3
2018-01-22,02:00:00,12.83437,V ugm-3
2018-01-22,03:00:00,10.4616,V ugm-3
2018-01-22,04:00:00,8.07025,V ugm-3
2018-01-22,05:00:00,8.11654,V ugm-3
2018-01-22,06:00:00,10.29162,V ugm-3
2018-01-22,07:00:00,19.83893,V ugm-3
2018-01-22,08:00:00,31.13803,V ugm-3
2018-01-22,09:00:00,28.78728,V ugm-3
2018-01-22,10:00:00,21.16577,V ugm-3
2018-01-22,11:00:00,19.54692,V ugm-3
2018-01-22,12:00:00,19.71311,V ugm-3
2018-01-22,13:00:00,19.83408,V ugm-3
2018-01-22,14:00:00,21.14683,V ugm-3
2018-01-22,15:00:00,18.99257,V ugm-3
2018-01-22,16:00:00,24.44869,V ugm-3
2018-01-22,17:00:00,27.18274,V ugm-3
2018-01-22,18:00:00,33.32131,V ugm-3
2018-01-22,19:00:00,32.74068,V ugm-3
2018-01-22,20:00:00,28.41534,V ugm-3
2018-01-22,21:00:00,22.25194,V ugm-3
2018-01-22,22:00:00,16.48805,V ugm-3
2018-01-22,23:00:00,7.52811,V ugm-3
2018-01-22,24:00:00,6.10386,V ugm-3
2018-01-23,01:00:00,6.57082,V ugm-3
2018-01-23,02:00:00,10.0779,V ugm-3
2018-01-23,03:00:00,7.85033,V ugm-3
2018-01-23,04:00:00,6.47053,V ugm-3
2018-01-23,05:00:00,5.57175,V ugm-3
2018-01-23,06:00:00,9.69575,V ugm-3
2018-01-23,07:00:00,13.71739,V ugm-3
2018-01-23,08:00:00,34.82139,V ugm-3
2018-01-23,09:00:00,39.75764,V ugm-3
2018-01-23,10:00:00,26.23172,V ugm-3
2018-01-23,11:00:00,14.44118,V ugm-3
2018-01-23,12:00:00,13.58898,V ugm-3
2018-01-23,13:00:00,11.92668,V ugm-3
2018-01-23,14:00:00,13.20989,V ugm-3
2018-01-23,15:00:00,13.52124,V ugm-3
2018-01-23,16:00:00,14.0873,V ugm-3
2018-01-23,17:00:00,14.55485,V ugm-3
2018-01-23,18:00:00,11.52836,V ugm-3
2018-01-23,19:00:00,14.84247,V ugm-3
2018-01-23,20:00:00,13.48191,V ugm-3
2018-01-23,21:00:00,9.87952,V ugm-3
2018-01-23,22:00:00,10.12698,V ugm-3
2018-01-23,23:00:00,9.75794,V ugm-3
2018-01-23,24:00:00,6.38933,V ugm-3
